Name	1: Id:1 Vel_NC (kp:50 Tn:5)
Record-Number	1
Axis-ID	1
Min Frequency [Hz]	1
Max Frequency [Hz]	247.5
Frequency Steps	100
Mode	Velocity NC (without oversampling)
Position Monitoring Window [mm]	50
Velocity Amplitude Scaling Mode	1/ 10 at 1000Hz
Velocity Base Amplitude [mm/s]	10
Velocity Signal Amplitude [mm/s]	20
Integral Time [s]	5
Proportional Gain	50
Check Drive Limitations	True
Dead Time [s]	0.008
Cycle Time [ms]	2
Oversampling	x1
Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase
18.5546875	-45.656201376200428	-54.787603327724284	-9.3911885897843526	-52.332995389719237	-11.236923990969414	-39.794636755957995
19.53125	-45.66427580435095	-54.478360065352994	-9.2652739288678383	-52.207253983122584	-11.141092748907706	-39.54936052253705
20.5078125	-45.385340030134458	-52.353629175371275	-8.76916682287763	-49.567101823894156	-10.824981404364561	-36.923125454475617
21.484375	-45.002787999216679	-50.062221496288345	-8.1178390558750877	-46.558311830276743	-10.407893388463567	-33.9037884859068
22.4609375	-44.806657000200431	-51.159833453270409	-7.6663511174075971	-48.405297821156829	-10.022687636773306	-34.761972502717931
23.4375	-44.393722318420473	-50.9156247789584	-6.89564827800435	-48.35483338275445	-9.46092555718086	-33.792109987010427
24.4140625	-44.013651833095466	-51.791263529883537	-6.1283358326638195	-50.172027128245013	-8.8617382131125471	-34.0992277467613
25.390625	-43.722520131464535	-54.754675107792238	-5.4770588996297889	-55.706296469687743	-8.2259107946616314	-37.015777617089462
26.3671875	-43.547173981170261	-56.544521433883261	-5.0295823950930476	-59.770805011521	-7.7674375403289275	-39.0811418461821
27.34375	-43.531264922721491	-59.634966436811	-4.9160066748135716	-66.226351293202825	-7.4206844558948779	-43.305843674161714
28.3203125	-43.52925000957444	-61.92106381846105	-4.8699628619702944	-71.468982459607048	-7.145424773664562	-46.855675807938383
29.296875	-43.63834973934766	-64.063918190604426	-5.0621374393953253	-76.285108932928836	-7.0390398659730806	-50.6904623829644
30.2734375	-43.716019561947235	-65.9859070543261	-5.2399429739262926	-80.73280274050154	-6.9290794507604891	-54.34350708351591
31.25	-43.855609983177217	-67.521058843023212	-5.5325885876266989	-84.268157578904578	-6.9482652072345381	-57.710036999572438
32.2265625	-43.962296053803492	-69.257930915993342	-5.8198089358866669	-88.076739926684056	-6.94644734887155	-61.384824833718881
33.203125	-44.0998268820116	-70.8149217012782	-6.167465301609905	-91.33497929706229	-7.02671863534251	-64.89943309852022
34.1796875	-44.22597888768172	-72.2121852409307	-6.5048796587315048	-94.227798141746973	-7.1265483386951365	-68.186113801342827
35.15625	-44.287186923919251	-73.157783912475125	-6.7273952658826355	-96.58492014915609	-7.1678436536944359	-70.784068310339734
36.1328125	-44.408764325004761	-74.294775332924957	-7.0643540675084546	-98.839105400213924	-7.3187633177771456	-73.658426995392688
37.109375	-44.4831908488951	-75.337877577526172	-7.3397791092952689	-101.01868412584369	-7.427113033641767	-76.347474834403727
