Name	19: Id:1 Pos (without oversampling) (kp:10 Tn:0) 1
Record-Number	19
Axis-ID	1
Min Frequency [Hz]	1
Max Frequency [Hz]	247.5
Frequency Steps	100
Mode	Position (without oversampling)
Position Monitoring Window [mm]	50
Position Amplitude Scaling Mode	1/ f
Position Base Amplitude [mm]	0
Position Signal Amplitude [mm]	1
Integral Time [s]	0
Proportional Gain	10
Check Drive Limitations	True
Dead Time [s]	0.008
Cycle Time [ms]	2
Oversampling	x1
Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase
18.5546875	-58.305057019431359	36.899328644140347	-38.322321432356112	37.51449139614725	-38.405730206297818	37.095282744290074
19.53125	-57.935713137281184	38.690362832649953	-37.955333020144039	39.362343085777205	-38.04017336075303	38.906977520309
20.5078125	-57.648694144642675	39.78716260463802	-37.669354837617945	40.514035901890736	-37.7555934007509	40.032069198224228
21.484375	-57.351533278192043	40.551647630257833	-37.372560420319843	41.337688577555554	-37.460707743672828	40.830741170972075
22.4609375	-57.182790297895238	42.35242395305584	-37.206020098184275	43.185258299564595	-37.29332592272749	42.649773711795923
23.4375	-56.786989403640746	43.261113200236828	-36.811131668825368	44.167558743511727	-36.901041413055218	43.597183894705566
24.4140625	-56.719470939330307	43.760806276653646	-36.742469199857382	44.710122608434929	-36.832271497457754	44.129634800328468
25.390625	-56.445476392064279	44.542292384328569	-36.468443307198214	45.557499271177186	-36.559784611683668	44.949628209188042
26.3671875	-56.213201337454933	45.023911647953952	-36.235019591815089	46.103268692728918	-36.327953031089976	45.473149991288004
27.34375	-55.881795036644739	46.142187407859822	-35.904404251320891	47.299056584662594	-35.998876115234751	46.631606299648993
28.3203125	-55.554192724933813	47.7399143206205	-35.579118923222119	48.9759971016926	-35.674118324691683	48.264702503266228
29.296875	-55.610729059380127	46.84315839124509	-35.628540370485858	48.112007355838934	-35.724588486520808	47.414192282969367
30.2734375	-55.200924949881752	47.246266390590037	-35.216649988088584	48.614115323051159	-35.316403761886114	47.877001930588278
